STRUCTURE;REF_AREA;Reference area;MEASURE;Measure;UNIT_MEASURE;Unit of measure;DOMAIN;Domain;TIME_PERIOD;OBS_VALUE;OBS_STATUS;Observation status;;
DATAFLOW;BEL;Belgium;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2020;32276;P;Provisional value;;
DATAFLOW;BEL;Belgium;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2021;32778;P;Provisional value;;
DATAFLOW;POL;Poland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2007;15415;A;Normal value;;
DATAFLOW;POL;Poland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2008;16073;A;Normal value;;
DATAFLOW;POL;Poland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2009;16849;A;Normal value;;
DATAFLOW;POL;Poland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2010;17560;A;Normal value;;
DATAFLOW;POL;Poland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2011;17597;A;Normal value;;
DATAFLOW;POL;Poland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2012;17789;A;Normal value;;
DATAFLOW;POL;Poland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2013;17979;A;Normal value;;
DATAFLOW;POL;Poland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2014;18950;A;Normal value;;
DATAFLOW;POL;Poland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2015;19514;A;Normal value;;
DATAFLOW;POL;Poland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2016;20591;A;Normal value;;
DATAFLOW;POL;Poland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2017;21319;A;Normal value;;
DATAFLOW;POL;Poland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2018;22187;A;Normal value;;
DATAFLOW;POL;Poland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2019;23270;A;Normal value;;
DATAFLOW;POL;Poland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2020;24244;A;Normal value;;
DATAFLOW;POL;Poland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2021;23841;A;Normal value;;
DATAFLOW;LVA;Latvia;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2007;14971;A;Normal value;;
DATAFLOW;LVA;Latvia;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2008;15566;A;Normal value;;
DATAFLOW;LVA;Latvia;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2009;13814;A;Normal value;;
DATAFLOW;LVA;Latvia;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2010;13419;A;Normal value;;
DATAFLOW;LVA;Latvia;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2011;12979;A;Normal value;;
DATAFLOW;LVA;Latvia;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2012;13588;A;Normal value;;
DATAFLOW;LVA;Latvia;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2013;14090;A;Normal value;;
DATAFLOW;LVA;Latvia;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2014;14911;A;Normal value;;
DATAFLOW;LVA;Latvia;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2015;15966;A;Normal value;;
DATAFLOW;LVA;Latvia;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2016;16810;A;Normal value;;
DATAFLOW;LVA;Latvia;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2017;17391;A;Normal value;;
DATAFLOW;LVA;Latvia;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2018;18266;A;Normal value;;
DATAFLOW;LVA;Latvia;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2019;18899;A;Normal value;;
DATAFLOW;LVA;Latvia;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2020;19353;A;Normal value;;
DATAFLOW;LVA;Latvia;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2021;21274;A;Normal value;;
DATAFLOW;FIN;Finland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2007;28081;A;Normal value;;
DATAFLOW;FIN;Finland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2008;28595;A;Normal value;;
DATAFLOW;FIN;Finland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2009;28690;A;Normal value;;
DATAFLOW;FIN;Finland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2010;29251;A;Normal value;;
DATAFLOW;FIN;Finland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2011;29332;A;Normal value;;
DATAFLOW;FIN;Finland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2012;29185;A;Normal value;;
DATAFLOW;FIN;Finland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2013;29058;A;Normal value;;
DATAFLOW;FIN;Finland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2014;28808;A;Normal value;;
DATAFLOW;FIN;Finland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2015;29038;A;Normal value;;
DATAFLOW;FIN;Finland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2016;29500;A;Normal value;;
DATAFLOW;FIN;Finland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2017;29722;A;Normal value;;
DATAFLOW;FIN;Finland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2018;30218;A;Normal value;;
DATAFLOW;FIN;Finland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2019;30814;A;Normal value;;
DATAFLOW;FIN;Finland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2020;30858;A;Normal value;;
DATAFLOW;FIN;Finland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2021;31253;A;Normal value;;
DATAFLOW;NLD;Netherlands;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2007;29533;A;Normal value;;
DATAFLOW;NLD;Netherlands;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2008;29908;A;Normal value;;
DATAFLOW;NLD;Netherlands;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2009;30372;A;Normal value;;
DATAFLOW;NLD;Netherlands;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2010;30335;A;Normal value;;
DATAFLOW;NLD;Netherlands;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2011;30409;A;Normal value;;
DATAFLOW;NLD;Netherlands;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2012;30160;A;Normal value;;
DATAFLOW;NLD;Netherlands;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2013;29792;A;Normal value;;
DATAFLOW;NLD;Netherlands;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2014;30096;A;Normal value;;
DATAFLOW;NLD;Netherlands;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2015;30385;A;Normal value;;
DATAFLOW;NLD;Netherlands;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2016;30819;A;Normal value;;
DATAFLOW;NLD;Netherlands;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2017;30954;A;Normal value;;
DATAFLOW;NLD;Netherlands;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2018;31535;A;Normal value;;
DATAFLOW;NLD;Netherlands;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2019;32150;A;Normal value;;
DATAFLOW;NLD;Netherlands;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2020;32515;P;Provisional value;;
DATAFLOW;NLD;Netherlands;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2021;33341;P;Provisional value;;
DATAFLOW;FRA;France;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2007;29690;A;Normal value;;
DATAFLOW;FRA;France;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2008;29681;A;Normal value;;
DATAFLOW;FRA;France;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2009;30066;A;Normal value;;
DATAFLOW;FRA;France;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2010;30449;A;Normal value;;
DATAFLOW;FRA;France;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2011;30405;A;Normal value;;
DATAFLOW;FRA;France;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2012;30279;A;Normal value;;
DATAFLOW;FRA;France;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2013;29946;A;Normal value;;
DATAFLOW;FRA;France;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2014;30207;A;Normal value;;
DATAFLOW;FRA;France;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2015;30383;A;Normal value;;
DATAFLOW;FRA;France;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2016;30783;A;Normal value;;
DATAFLOW;FRA;France;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2017;31157;A;Normal value;;
DATAFLOW;FRA;France;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2018;31377;A;Normal value;;
DATAFLOW;FRA;France;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2019;31860;A;Normal value;;
DATAFLOW;FRA;France;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2020;31351;P;Provisional value;;
DATAFLOW;FRA;France;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2021;32324;P;Provisional value;;
DATAFLOW;CHE;Switzerland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2007;35653;A;Normal value;;
DATAFLOW;CHE;Switzerland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2008;35717;A;Normal value;;
DATAFLOW;CHE;Switzerland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2009;35933;A;Normal value;;
DATAFLOW;CHE;Switzerland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2010;36272;A;Normal value;;
DATAFLOW;CHE;Switzerland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2011;36364;A;Normal value;;
DATAFLOW;CHE;Switzerland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2012;36909;A;Normal value;;
DATAFLOW;CHE;Switzerland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2013;37480;A;Normal value;;
DATAFLOW;CHE;Switzerland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2014;37655;A;Normal value;;
DATAFLOW;CHE;Switzerland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2015;37855;A;Normal value;;
DATAFLOW;CHE;Switzerland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2016;38013;A;Normal value;;
DATAFLOW;CHE;Switzerland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2017;37516;A;Normal value;;
DATAFLOW;CHE;Switzerland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2018;37487;A;Normal value;;
DATAFLOW;CHE;Switzerland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2019;37970;P;Provisional value;;
DATAFLOW;CHE;Switzerland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2020;38910;P;Provisional value;;
DATAFLOW;CHE;Switzerland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2021;39213;P;Provisional value;;
DATAFLOW;IRL;Ireland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2007;25924;A;Normal value;;
DATAFLOW;IRL;Ireland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2008;26757;A;Normal value;;
DATAFLOW;IRL;Ireland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2009;26403;A;Normal value;;
DATAFLOW;IRL;Ireland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2010;25870;A;Normal value;;
DATAFLOW;IRL;Ireland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2011;24246;A;Normal value;;
DATAFLOW;IRL;Ireland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2012;24268;A;Normal value;;
DATAFLOW;IRL;Ireland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2013;23749;A;Normal value;;
DATAFLOW;IRL;Ireland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2014;23702;A;Normal value;;
DATAFLOW;IRL;Ireland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2015;24483;A;Normal value;;
DATAFLOW;IRL;Ireland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2016;25234;A;Normal value;;
DATAFLOW;IRL;Ireland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2017;26240;A;Normal value;;
DATAFLOW;IRL;Ireland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2018;26757;A;Normal value;;
DATAFLOW;IRL;Ireland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2019;27692;A;Normal value;;
DATAFLOW;IRL;Ireland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2020;29386;A;Normal value;;
DATAFLOW;IRL;Ireland;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2021;30141;A;Normal value;;
DATAFLOW;EST;Estonia;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2007;16107;A;Normal value;;
DATAFLOW;EST;Estonia;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2008;17225;A;Normal value;;
DATAFLOW;EST;Estonia;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2009;15917;A;Normal value;;
DATAFLOW;EST;Estonia;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2010;15331;A;Normal value;;
DATAFLOW;EST;Estonia;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2011;15869;A;Normal value;;
DATAFLOW;EST;Estonia;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2012;15881;A;Normal value;;
DATAFLOW;EST;Estonia;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2013;16739;A;Normal value;;
DATAFLOW;EST;Estonia;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2014;17478;A;Normal value;;
DATAFLOW;EST;Estonia;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2015;18521;A;Normal value;;
DATAFLOW;EST;Estonia;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2016;19285;A;Normal value;;
DATAFLOW;EST;Estonia;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2017;19964;A;Normal value;;
DATAFLOW;EST;Estonia;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2018;21085;A;Normal value;;
DATAFLOW;EST;Estonia;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2019;21767;A;Normal value;;
DATAFLOW;EST;Estonia;1_1;Households and NPISHs net adjusted disposable income per capita;USD_PPP_PS;US dollars per person, PPP converted;HSL_1;Income and wealth;2020;22339;A;Normal value;;
